Month ,CNG Only ,DIESEL ,Diesel/Hybrid ,Electric (BOV) ,LPG Only ,Petrol ,Petrol/CNG ,Petrol/Hybrid ,Petrol/LPG ,Ethanol ,Not Applicable 
Apr-17,"1,825","1,93,689","3,412","5,063",89,"14,32,174","16,879",108,"4,941",1,"6,784"
May-17,"1,918","1,82,173","4,172","7,080",160,"15,10,907","17,968",88,"5,198",1,"7,403"
Jun-17,"2,352","1,94,894","4,717","7,508",218,"14,23,800","18,768",123,"6,000",1,"6,784"
Jul-17,"2,081","1,96,529","4,161","9,031",521,"13,09,851","18,069",30,"5,427",1,"6,897"
Aug-17,"1,532","1,85,968","3,201","9,174",643,"12,41,005","20,652",31,"5,891",,"5,359"
Sep-17,"1,745","1,96,562","3,440","7,795",532,"12,62,629","25,744",36,"6,189",,"6,264"
Oct-17,"2,316","2,12,104","4,548","7,715",212,"17,56,702","30,888",35,"7,353",,"6,626"
Nov-17,"2,332","2,44,725","5,023","10,303",422,"18,98,134","37,280",22,"8,273",6,"7,671"
Dec-17,"1,787","1,99,253","3,570","9,054",458,"12,67,974","29,560",19,"5,959",11,"8,602"
Jan-18,"2,552","2,40,793","4,996","8,888",229,"14,95,758","37,337",34,"7,423",6,"8,673"
Feb-18,"2,348","2,20,106","4,400","7,453",268,"13,59,532","34,433",38,"8,162",,"6,099"
Mar-18,"2,428","2,48,625","5,042","7,830",329,"15,78,613","34,379",64,"8,793",,"6,601"
Apr-18,"2,678","2,29,411","4,556","7,513",479,"15,54,402","34,349",75,"8,452",5,"6,843"
May-18,"2,401","2,26,243","4,741","8,542",375,"16,96,579","33,337",52,"8,718",,"6,521"
Jun-18,"2,113","2,12,531","4,336","8,924",270,"15,37,263","30,929",89,"8,975",1,"6,032"
Jul-18,"2,032","2,33,916","4,422","11,385",213,"15,32,951","31,449",49,"9,891",1,"6,112"
Aug-18,"2,100","2,10,601","4,436","11,646",435,"14,08,636","30,689",247,"9,380",,"5,225"
Sep-18,"2,361","2,00,860","4,066","14,332",388,"13,76,823","28,672","1,666","8,899",,"5,322"
Oct-18,"2,777","2,28,381","4,365","15,173",359,"14,75,062","31,371","2,344","9,465",1,"7,133"
Nov-18,"2,538","2,28,507","4,549","14,179",257,"18,70,869","34,527","2,712","9,091",9,"6,679"
Dec-18,"2,626","2,16,289","4,646","15,550",390,"16,08,323","28,080","4,315","7,500",,"8,354"
