AC_YEAR,STATCD,STATNAME,DISTRICTS,BLOCKS,VILLAGES,CLUSTERS,TOTPOPULAT,P_URB_POP,POPULATION_0_6,GROWTHRATE,SEXRATIO,P_SC_POP,P_ST_POP,OVERALL_LI,FEMALE_LIT,MALE_LIT,AREA_SQKM,TOT_6_10_15,TOT_11_13_15,SCHTOT,,SCHTOTG,,,,,,,,,SCHTOTP,,,,,,,,,SCHTOTM,SCHTOTGR,SCHTOTGA,SCHTOTPR,SCHBOYTOT,ENRTOT,ENRTOTG,ENRTOTP,ENRTOTM,ENRTOTGR,ENRTOTPR,TCHTOTG,TCHTOTP,TCHTOTM,SCLSTOT,STCHTOT,ROADTOT,SPLAYTOT,SBNDRTOT,SGTOILTOT,SBTOILTOT,SWATTOT,SELE1,SELE2,SELE3,SELE4,SELE5,SELE6,SELE7,SELETOT,SCOMP1,SCOMP2,SCOMP3,SCOMP4,SCOMP5,SCOMP6,SCOMP7,SCOMPTOT,SRAM1,SRAM2,SRAM3,SRAM4,SRAM5,SRAM6,SRAM7,SRAMTOT,SRAMN1,SRAMN2,SRAMN3,SRAMN4,SRAMN5,SRAMN6,SRAMN7,SRAMNTOT,ESTD1,ESTD2,ESTD3,ESTD4,ESTD5,ESTD6,ESTD7,ESTDTOT,MDM1,MDM2,MDM3,MDM4,MDM5,MDM6,MDM7,MDMTOT,KIT1,KIT2,KIT3,KIT4,KIT5,KIT6,KIT7,KITTOT,KITS1,KITS2,KITS3,KITS4,KITS5,KITS6,KITS7,KITSTOT,ENR501,ENR502,ENR503,ENR504,ENR505,ENR506,ENR507,ENR50TOT,SMC1,SMC2,SMC3,SMC4,SMC5,SMC6,SMC7,SMCTOT,CLS1,CLS2,CLS3,CLS4,CLS5,CLS6,CLS7,CLSTOT,TCH1,TCH2,TCH3,TCH4,TCH5,TCH6,TCH7,TCHTOT,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHF9,TCHFTOT,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,TCHMTOT,ENRG1,ENRG2,ENRG3,ENRG4,ENRG5,ENRG6,ENRG7,ENRGTOT
2015-16,1,JAMMU & KASHMIR,22,201,7263,1628,12549,20.05,16.01,23.71,883,7.4,11.9,68.74,58.01,78.26,222236,1452682,865656,28578,,23329,,,,,,,,,5247,,,,,,,,,2,21829,23329,3776,28128,1856776,1024643,832077,56,951439,515189,98689,59148,10,2114,1745,22634,10604,9710,26934,25887,26362,2142,2910,472,59,90,2117,288,8078,601,2094,438,15,72,1545,151,4916,1049,1804,68,11,38,590,186,3746,1988,2716,102,26,41,846,237,5956,10682,2138,63,110,6,211,3,13213,13147,8006,75,104,77,1391,401,23201,7150,6229,65,56,57,1207,310,15074,11917,7743,74,97,76,1377,390,21674,13144,3555,32,111,52,365,301,17560,13014,7970,88,133,84,1378,411,23078,41171,62474,7878,564,495,24326,2001,138909,35378,66915,11006,821,1878,36581,5268,157847,14731,28202,6938,707,600,18085,1590,0,70853,20647,38713,4068,114,1278,18496,3678,86994,201825,395417,78574,4590,2450,195609,7734,886199
2015-16,2,HIMACHAL PRADESH,12,124,10120,2243,6857,8.69,11.14,12.81,974,25.2,5.7,83.78,76.6,90.83,55673,588162,354221,18024,,15386,,,,,,,,,2637,,,,,,,,,1,15014,15386,2258,17952,950766,580395,370337,34,547430,277699,66338,28524,3,540,1476,14929,15456,12016,17949,17898,17999,10097,787,564,1788,1624,682,859,16401,534,643,541,399,1441,649,473,4680,6966,82,77,1201,1132,71,628,10157,7618,239,156,1350,1194,194,670,11421,973,610,212,1238,83,349,173,3638,10709,1,1,2127,1613,0,880,15331,10081,0,0,1788,1550,0,849,14268,10626,1,0,2012,1604,0,874,15117,9730,241,25,1846,430,62,496,12830,10712,3,17,2121,1613,2,880,15348,38307,6930,6909,6498,5445,6151,2717,72957,27880,6906,10928,7568,27179,8294,6110,94865,12503,4951,7619,1958,9973,5790,2070,0,44864,15377,1955,3309,5610,17206,2504,4040,50001,174209,29343,77429,33110,67009,47972,23645,452717
2015-16,3,PUNJAB,22,146,13197,1780,27704,29.82,10.62,13.73,893,31.9,0,76.68,71.34,81.48,50362,2447062,1498066,28776,,20488,,,,,,,,,7163,,,,,,,,,1125,18005,20956,3831,28327,3962439,2072324,1651510,238605,1560105,755203,128034,106425,16011,562,1583,28650,27853,28317,28482,28216,28771,14361,2575,2592,2864,1754,2742,1869,28757,1326,2251,2558,2720,1750,2665,1866,15136,2275,329,363,549,454,359,462,4791,2488,435,482,593,487,515,490,5490,1071,1396,913,1149,49,1107,116,5801,13195,42,187,2860,1701,60,1856,19901,12020,28,113,2574,1565,38,1704,18042,12352,33,144,2660,1593,49,1734,18565,6692,559,61,977,50,141,118,8598,13156,120,286,2861,1721,121,1860,20125,56222,23531,42532,9244,8406,30835,7218,177988,48104,23929,69743,12158,36588,39538,20410,250470,32913,20775,57114,6881,21647,33952,11718,0,185000,15191,3154,12629,5277,14941,5586,8692,65470,537759,135915,470503,96086,144666,289141,113094,1787164
2015-16,4,CHANDIGARH,1,20,84,20,1055,97.25,11.18,17.1,818,18.9,0,86.43,81.38,90.54,114,114473,67721,201,,115,,,,,,,,,80,,,,,,,,,6,16,122,1,198,157921,101884,55040,997,17869,386,5437,3801,71,1,0,201,187,201,200,198,201,12,29,85,0,5,70,0,201,6,27,85,0,5,67,0,190,4,10,44,0,2,34,0,94,4,12,47,0,2,41,0,106,3,9,10,0,1,14,0,37,7,12,43,0,2,52,0,116,0,0,5,0,0,2,0,7,0,0,5,0,0,2,0,7,1,0,0,0,0,0,0,1,7,12,46,0,3,52,0,120,135,419,2066,0,36,1398,0,4054,182,590,5479,0,234,2824,0,9309,154,440,4456,0,179,2116,0,0,7345,28,150,1023,0,55,708,0,1964,1565,6026,37830,0,467,27242,0,73130
2015-16,5,UTTARAKHAND,13,95,11989,995,10117,21.54,13.14,19.17,963,18.8,2.9,79.63,70.7,88.33,53483,1123220,687598,23660,,17505,,,,,,,,,5787,,,,,,,,,368,16860,18044,4253,23317,1712673,757209,907076,48388,679723,604115,65399,42144,1831,259,1558,18214,13768,19105,22866,22726,22836,9596,1437,483,2575,1525,162,736,16514,1993,1236,470,1968,1504,151,588,7910,3176,130,59,633,218,17,155,4388,3651,175,81,781,282,24,196,5190,3216,777,121,1487,82,64,165,5912,12473,22,38,2917,1462,7,818,17737,11102,17,27,2462,1299,5,732,15644,12453,22,37,2910,1458,7,813,17700,11636,136,10,2372,444,9,428,15035,12492,21,64,2932,1458,11,818,17796,48215,14587,7545,12388,6671,1855,3227,94488,42791,12914,8355,12361,24255,1932,6766,109374,23164,8660,5684,4687,6114,1314,2026,0,51649,19627,4254,2671,7674,18141,618,4740,57725,352019,132706,113492,83982,75680,21291,32523,811764
2015-16,6,HARYANA,21,126,7438,1523,25353,24.12,13.01,19.9,877,20.2,0,76.64,66.77,85.38,44212,2556187,1509213,22268,,14598,,,,,,,,,6834,,,,,,,,,836,13171,14825,4038,20888,3730944,1663751,1970731,96462,1352437,989249,93090,105482,6398,207,1074,21824,18780,21740,21390,20788,22252,9640,2232,2329,2264,1911,1926,1424,21726,785,1737,2236,741,1868,1706,1377,10450,3135,479,678,818,883,394,560,6947,3446,567,731,922,954,445,639,7704,980,1128,940,227,16,602,17,3910,8911,2,56,2405,1857,19,1392,14642,5785,2,32,1664,1520,9,1080,10092,7694,2,53,2058,1645,17,1232,12701,3062,134,25,838,103,66,181,4409,8912,2,51,2411,1857,17,1396,14646,52975,23273,35337,8686,10503,20136,6481,157391,40322,22024,58498,8423,37801,24832,13070,204970,18363,15062,40115,2694,17333,16095,5146,0,114808,21959,6962,18383,5729,20468,8737,7924,90162,549193,169740,420909,102308,157609,204384,90059,1694202
2015-16,7,DELHI,9,69,1201,69,16753,77.03,11.76,20.96,866,16.8,0,86.34,80.93,91.03,1483,1704499,874236,5751,,2826,,,,,,,,,2925,,,,,,,,,0,145,3082,83,4821,3007010,1675648,1331362,0,35269,30279,76219,62630,0,3,13,5751,5026,5720,4735,4821,5751,2750,902,1135,35,545,260,117,5744,2209,848,1018,11,413,251,75,4825,1977,562,896,21,485,177,100,4218,1977,562,896,21,485,177,100,4218,612,422,143,10,102,56,34,1379,1766,15,533,30,533,29,111,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,8,0,3,12,0,2,85,1722,16,546,28,522,33,110,2977,31334,10627,26042,287,5952,3943,1074,79259,27492,11097,67256,419,23284,5948,3353,138849,19977,9531,52774,235,11101,5059,1746,0,100423,7515,1566,14482,184,12183,889,1607,38426,502958,125309,546957,5642,140471,51734,31087,1404158
2015-16,8,RAJASTHAN,33,302,41441,10594,68621,19.26,15.31,21.44,926,17.8,13.5,67.06,52.66,80.51,342239,8238091,4451853,107931,,70664,,,,,,,,,34872,,,,,,,,,2395,67154,70664,21886,106362,12340135,6266075,5891623,182437,5817327,3582303,329603,319231,7249,2933,12836,84991,56458,89607,107555,105504,104512,8058,26426,14043,204,1139,9415,377,59662,2515,12259,10037,179,933,6082,279,32284,11725,11480,4847,89,357,2690,99,31287,18118,17611,7971,131,612,4781,193,49417,20575,13592,2568,205,198,3481,73,40692,34854,20815,8324,163,640,3953,194,68943,25699,16605,6184,139,374,2953,110,52064,32409,19401,7826,160,549,3604,167,64116,30004,4164,467,40,380,481,137,35673,34824,20919,7122,200,484,3565,163,67277,125798,253514,120330,979,5189,86126,1720,593656,95262,234628,196604,1043,13669,111807,3070,656083,33682,87952,62300,876,4404,38498,1152,0,228864,61580,146676,134304,167,9265,73309,1918,427219,911257,2276074,1494818,17813,49563,922904,14339,5687861
2015-16,9,UTTAR PRADESH,75,971,98470,9423,199581,17.31,14.9,20.09,908,20.7,0.6,69.72,59.26,79.24,240928,27421871,14858172,245919,,161329,,,,,,,,,80385,,,,,,,,,4205,155108,169373,60214,241982,36425633,16602729,18876867,946037,15931346,13777746,529650,468533,20729,1798,20394,236294,173437,176042,244174,241384,242777,56258,8784,2206,23047,6573,734,2066,99668,10392,3613,1466,10900,4551,347,762,32031,35539,1768,942,13149,3128,291,1055,55872,40522,2183,1083,15549,3709,328,1236,64610,53953,5565,855,39356,2110,466,1531,103836,113668,282,369,47636,2107,30,279,164371,91710,151,212,35320,1200,15,163,128771,108770,244,292,45130,1739,22,240,156437,18684,247,86,18988,1036,31,366,39438,113450,390,460,47887,2223,46,295,164751,746590,99397,24849,297150,42320,6679,12482,1229467,546381,78246,33663,242310,91967,7489,18856,1018912,245963,33079,15145,86963,18496,2807,4375,0,406828,298735,44933,18385,154632,72929,4665,14335,608614,10523879,1929470,748196,3355140,900812,173272,248663,17895397
2015-16,10,BIHAR,38,537,40779,5633,103805,8.36,17.9,25.07,916,15.9,1.3,63.82,53.33,73.39,94163,15017838,6730614,80166,,71411,,,,,,,,,3477,,,,,,,,,5278,67441,71632,2108,79771,23431785,21548009,895815,987961,20363333,506693,385728,39230,42919,1521,3396,69162,28295,42122,71956,71000,75544,9124,16739,569,127,78,1228,98,27963,1030,4236,272,34,61,410,42,6085,7870,9032,247,101,24,758,39,18071,9376,10125,290,105,38,846,61,20841,21912,4086,129,3,11,210,8,26359,39941,26562,468,278,24,1787,80,69140,20658,18598,347,201,15,1343,34,41196,38052,25320,461,273,24,1723,75,65928,1857,907,53,5,18,63,90,2993,40504,26040,462,276,60,1759,135,69236,147323,272919,11332,2481,475,23095,927,458552,146405,272496,15470,2334,1513,27726,1933,467877,62052,90181,2850,851,316,7509,411,0,164170,78083,147183,7378,1472,1024,16105,1442,252687,3559768,7101380,246164,67333,11526,663388,18230,11667789
