Year,Arabica (in hectares),Arabica %,Robusta (in hectares),Robusta %,Total (in hectares)
1950-51,67613,73,24910,27,92523
1960-61,70650,59,49670,41,120320
1970-71,80433,59,55030,41,135463
1980-81,109454,53,98815,47,208269
1990-91,127934,47,142887,53,270821
1991-92,126889,46,151742,54,278631
1992-93,141546,49,149465,51,291011
1993-94,143491,49,148976,51,292467
1994-95,142644,49,150465,51,293109
1995-96,145901,48,159252,52,305153
1996-97,143239,47,160582,53,303821
1997-98,143928,47,161974,53,305902
1998-99,160671,49,168567,51,329238
1999-00,168453,50,171853,50,340306
2000-01,167679,48,179037,52,346716
2001-02,165892,48,181103,52,346995
2002–03,171180,48,182872,52,354052
2003-04,170294,48,184546,52,354840
2004-05,174315,48,188769,52,363084
2005-06,177728,47,201981,53,379709
2006-07,179096,47,201989,53,381085
2007-08,184418,48,203777,52,388195
2008-09,189511,48,204841,52,394352
2009-10,193995,49,205688,51,399683
2010-11,197930,49,206715,51,404645
2011-12,201070,49,208620,51,409690
2012-13,205775,50,209566,50,415341
2013-14,209385,50,209590,50,418975
2014-15,213462,50,209808,50,423270
2015-16,221379,51,213057,49,434436
2016-17,223816,50,225541,50,449357
2017-18,228910,50,225812,50,454722
2018-19,233081,51,226814,49,459895
2019-20,233186,51,226544,49,459730
